IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.86.18,2096,2096,TRUE,SIN,Asia Pacific,Singapore,29,13.66
47.236.12.195,443,443,TRUE,SIN,Asia Pacific,Singapore,93,13.65
47.236.17.165,2087,2087,TRUE,SIN,Asia Pacific,Singapore,89,13.64
47.236.244.37,2053,2053,TRUE,SIN,Asia Pacific,Singapore,162,13.64
47.236.109.115,2053,2053,TRUE,SIN,Asia Pacific,Singapore,119,13.64
47.74.16.67,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,139,13.63
47.236.23.102,2053,2053,TRUE,SIN,Asia Pacific,Singapore,149,13.63
8.222.146.222,8443,8443,TRUE,SIN,Asia Pacific,Singapore,89,13.63
8.219.5.10,2053,2053,TRUE,SIN,Asia Pacific,Singapore,134,13.63
8.219.170.180,2083,2083,TRUE,SIN,Asia Pacific,Singapore,88,13.63
8.222.136.247,2053,2053,TRUE,SIN,Asia Pacific,Singapore,74,13.62
8.219.235.164,2096,2096,TRUE,SIN,Asia Pacific,Singapore,7,13.62
47.236.189.173,2083,2083,TRUE,SIN,Asia Pacific,Singapore,117,13.62
8.219.253.18,2087,2087,TRUE,SIN,Asia Pacific,Singapore,67,13.62
8.219.72.50,2087,2087,TRUE,SIN,Asia Pacific,Singapore,142,13.62
8.222.144.117,2096,2096,TRUE,SIN,Asia Pacific,Singapore,83,13.62
47.236.74.20,2083,2083,TRUE,SIN,Asia Pacific,Singapore,138,13.61
47.245.11.118,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,197,13.61
8.219.56.205,2083,2083,TRUE,SIN,Asia Pacific,Singapore,112,13.6
8.218.65.237,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,40,13.6
8.222.146.222,2083,2083,TRUE,SIN,Asia Pacific,Singapore,121,13.59
8.219.83.201,2096,2096,TRUE,SIN,Asia Pacific,Singapore,110,13.59
47.245.15.39,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,210,13.59
47.74.42.17,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,108,13.58
8.222.167.147,2083,2083,TRUE,SIN,Asia Pacific,Singapore,145,13.58
